               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.088691,            0.019217,            0.071436,            0.001002,             0.18343,           0.0006953,          0.00016039,            0.071034,            0.018587,            0.067956,           0.0001525,           0.0001525,            0.094053
                   1,            0.058151,            0.020189,            0.067022,            0.041469,             0.28494,            0.040608,            0.014157,            0.046907,            0.018912,            0.065351,          0.00030742,          0.00030742,            0.088007
                   2,            0.043255,             0.01876,            0.065722,            0.057272,             0.33129,            0.056186,            0.018288,            0.046126,            0.015046,            0.064028,          0.00046205,          0.00046205,            0.081962
                   3,            0.039264,            0.016006,            0.064745,            0.081643,             0.35622,            0.075464,            0.034159,            0.039538,            0.012986,            0.063054,          0.00061614,          0.00061614,            0.075916
                   4,            0.037119,            0.013905,            0.063972,              0.1028,             0.39918,              0.1073,             0.06329,            0.032956,            0.011792,             0.06191,          0.00076947,          0.00076947,            0.069869
                   5,            0.034783,            0.012248,            0.062964,             0.13266,             0.31391,             0.13676,            0.073093,            0.033697,            0.010046,             0.06079,          0.00092182,          0.00092182,            0.063822
                   6,            0.032905,            0.010667,            0.061411,             0.19538,             0.38375,             0.19966,             0.12189,            0.031569,           0.0092529,            0.058414,            0.001073,            0.001073,            0.057773
                   7,            0.031634,           0.0099463,             0.05932,             0.18667,             0.49814,             0.23654,             0.15366,            0.027887,           0.0084259,            0.056251,           0.0012227,           0.0012227,            0.051723
                   8,            0.030817,           0.0088222,            0.056489,             0.32296,             0.56757,             0.30281,             0.18983,            0.029618,           0.0075275,            0.053251,           0.0013707,           0.0013707,            0.045671
                   9,            0.030592,           0.0085148,            0.053497,              0.3151,             0.53804,             0.34968,             0.23657,            0.026122,           0.0079462,            0.050642,           0.0015169,           0.0015169,            0.039617
                  10,             0.02975,           0.0080282,            0.049909,             0.40563,             0.52996,             0.42105,             0.30112,            0.023767,           0.0071832,            0.046715,            0.001661,            0.001661,            0.033561
                  11,            0.029252,            0.007669,            0.046146,              0.4651,             0.67217,             0.48049,             0.32318,            0.026512,           0.0067553,            0.040993,           0.0018029,           0.0018029,            0.027503
                  12,            0.029664,           0.0075186,            0.042678,             0.28952,             0.59632,             0.41358,             0.27545,            0.028404,           0.0090175,            0.044438,           0.0019422,           0.0019422,            0.021442
                  13,            0.029758,           0.0072457,            0.039999,             0.35576,              0.6193,             0.43968,             0.30681,            0.026913,           0.0075913,            0.044131,           0.0020788,           0.0020788,            0.015379
                  14,            0.028805,           0.0076426,            0.037673,             0.34413,             0.71949,             0.55831,             0.39526,            0.024619,           0.0066713,            0.036475,           0.0022125,           0.0022125,           0.0093125
                  15,            0.028924,           0.0075702,            0.035623,             0.40955,             0.63787,             0.55598,             0.38734,            0.025738,           0.0071133,            0.033049,           0.0023432,           0.0023432,           0.0032432
                  16,            0.027962,           0.0076497,            0.033334,              0.5085,              0.7204,             0.64348,             0.44383,            0.023799,           0.0071274,            0.030136,           0.0023462,           0.0023462,           0.0023462
                  17,            0.027631,           0.0074191,            0.030241,             0.43332,             0.70034,              0.6006,             0.43207,            0.023551,             0.00717,             0.03189,           0.0023462,           0.0023462,           0.0023462
                  18,            0.026902,           0.0072061,            0.029863,             0.47564,             0.75215,             0.65995,             0.46833,            0.022377,            0.008022,            0.028266,           0.0023268,           0.0023268,           0.0023268
                  19,            0.026549,            0.006951,            0.026691,             0.54653,             0.76054,             0.68785,             0.50291,            0.022156,           0.0068448,            0.025553,           0.0023064,           0.0023064,           0.0023064
                  20,            0.026789,           0.0065126,            0.025007,             0.59211,             0.83859,             0.72481,             0.51052,            0.022676,            0.006368,            0.024429,           0.0022849,           0.0022849,           0.0022849
                  21,            0.025822,           0.0063139,            0.024134,             0.59399,              0.7812,             0.73791,             0.53601,            0.024066,           0.0059265,            0.024372,           0.0022625,           0.0022625,           0.0022625
                  22,            0.024656,           0.0061751,            0.023879,             0.67752,             0.69885,             0.75259,             0.55981,            0.020728,           0.0060956,            0.023896,            0.002239,            0.002239,            0.002239
