               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  35,            0.025335,           0.0049928,            0.022641,             0.67865,             0.78612,             0.77616,             0.56181,            0.023532,           0.0038881,            0.024122,           0.0018554,           0.0018554,           0.0018554
                  36,            0.025058,           0.0049072,            0.021086,             0.65465,             0.82914,             0.78975,             0.58175,            0.022837,           0.0038239,            0.022555,           0.0018209,           0.0018209,           0.0018209
                  37,            0.024571,           0.0048091,            0.020698,             0.71726,             0.79508,             0.80577,             0.58442,             0.02292,           0.0038492,            0.021381,           0.0017858,           0.0017858,           0.0017858
                  38,            0.024768,           0.0048274,            0.020639,             0.73937,             0.81239,             0.83897,             0.62518,            0.021266,           0.0037461,            0.019566,           0.0017502,           0.0017502,           0.0017502
                  39,            0.024561,           0.0048192,            0.019891,             0.73197,             0.78312,             0.84159,             0.60311,            0.023061,           0.0037993,            0.019839,           0.0017141,           0.0017141,           0.0017141
                  40,            0.023955,            0.004722,            0.019896,             0.77373,              0.7988,             0.85364,             0.63297,            0.021491,            0.003697,            0.019842,           0.0016776,           0.0016776,           0.0016776
                  41,            0.024065,           0.0046462,            0.017812,             0.76343,             0.84474,             0.86942,             0.65581,            0.021675,           0.0036415,            0.017902,           0.0016406,           0.0016406,           0.0016406
                  42,            0.024005,            0.004623,            0.017493,             0.77635,             0.82943,             0.87197,             0.65552,            0.021207,            0.003603,            0.017172,           0.0016032,           0.0016032,           0.0016032
                  43,            0.024445,           0.0046568,            0.017166,             0.78072,             0.81902,             0.87359,             0.65061,            0.023378,           0.0036832,            0.016757,           0.0015656,           0.0015656,           0.0015656
                  44,            0.024238,           0.0046387,            0.016293,             0.75421,             0.86698,              0.8872,             0.67061,            0.021346,           0.0035744,             0.01694,           0.0015276,           0.0015276,           0.0015276
                  45,            0.023529,           0.0045644,            0.016991,             0.75276,             0.80673,             0.85205,             0.65048,            0.020652,           0.0036974,              0.0188,           0.0014893,           0.0014893,           0.0014893
                  46,            0.023016,           0.0045733,            0.016251,             0.81336,             0.81615,             0.87385,               0.652,             0.02184,           0.0036598,            0.017957,           0.0014508,           0.0014508,           0.0014508
                  47,            0.023527,           0.0045964,              0.0158,             0.78641,             0.84635,              0.8803,             0.66646,            0.021443,            0.003676,            0.017162,           0.0014121,           0.0014121,           0.0014121
                  48,            0.023164,           0.0045505,            0.014418,               0.833,             0.80399,             0.88785,             0.66886,            0.021154,           0.0036559,             0.01526,           0.0013733,           0.0013733,           0.0013733
                  49,            0.023123,           0.0045057,             0.01378,             0.83446,             0.85235,             0.89957,             0.67969,            0.020834,           0.0035319,            0.014234,           0.0013343,           0.0013343,           0.0013343
                  50,            0.022954,           0.0043242,            0.012919,             0.83378,             0.85868,             0.90795,             0.69496,            0.019977,           0.0034685,            0.013744,           0.0012953,           0.0012953,           0.0012953
                  51,            0.022356,           0.0043236,            0.012589,              0.8777,             0.85868,             0.91154,             0.70128,            0.020213,           0.0034755,            0.013538,           0.0012563,           0.0012563,           0.0012563
                  52,             0.02263,           0.0041806,            0.010958,             0.87862,             0.79482,             0.88921,             0.68095,            0.021268,            0.003574,             0.01476,           0.0012172,           0.0012172,           0.0012172
                  53,            0.022456,           0.0042873,            0.010876,             0.91443,              0.8366,             0.91662,             0.69683,            0.020867,           0.0034542,            0.012846,           0.0011782,           0.0011782,           0.0011782
                  54,            0.021095,           0.0041994,            0.011392,             0.87639,             0.84778,             0.90568,             0.70024,            0.019614,           0.0034305,            0.013078,           0.0011392,           0.0011392,           0.0011392
                  55,            0.022491,           0.0041488,            0.010716,             0.90268,             0.85699,             0.92001,             0.70966,            0.020181,           0.0034192,            0.012938,           0.0011004,           0.0011004,           0.0011004
                  56,            0.021262,           0.0041699,            0.011098,             0.87564,             0.84624,             0.91157,             0.71464,            0.019474,           0.0033879,            0.012815,           0.0010617,           0.0010617,           0.0010617
                  57,            0.022023,           0.0041331,            0.010315,             0.90921,             0.87514,             0.93918,             0.72896,            0.019934,           0.0032771,            0.010872,           0.0010232,           0.0010232,           0.0010232
                  58,            0.020833,           0.0040886,            0.009075,             0.90067,             0.85413,             0.92723,             0.73015,            0.019179,           0.0033496,            0.012106,          0.00098493,          0.00098493,          0.00098493
                  59,            0.020802,           0.0040782,           0.0087948,             0.88962,             0.88059,             0.94089,             0.73823,            0.018748,           0.0032074,            0.010957,          0.00094694,          0.00094694,          0.00094694
                  60,            0.020807,           0.0039975,           0.0088402,             0.92871,             0.84699,             0.93201,             0.73647,             0.01853,           0.0032207,            0.012006,          0.00090925,          0.00090925,          0.00090925
                  61,            0.020652,           0.0041204,           0.0089269,             0.89377,             0.87769,             0.93175,             0.73889,            0.018858,            0.003289,            0.011638,          0.00087191,          0.00087191,          0.00087191
                  62,            0.020159,           0.0040687,           0.0088163,             0.89298,             0.88947,             0.94018,             0.74236,            0.019194,           0.0032564,             0.01135,          0.00083494,          0.00083494,          0.00083494
                  63,            0.019959,           0.0039162,           0.0077989,             0.89253,             0.88769,             0.94162,             0.74507,            0.019252,           0.0031891,            0.010292,           0.0007984,           0.0007984,           0.0007984
                  64,            0.019927,           0.0037423,           0.0062303,             0.93035,             0.88587,             0.94521,             0.74661,            0.020051,           0.0032647,           0.0099341,           0.0007623,           0.0007623,           0.0007623
                  65,            0.018371,           0.0036132,           0.0053924,             0.93465,             0.87598,             0.94694,             0.75377,            0.018693,           0.0031815,           0.0095965,          0.00072669,          0.00072669,          0.00072669
                  66,             0.01811,           0.0036318,           0.0054497,             0.93483,             0.86859,             0.94679,             0.76185,            0.017661,           0.0031673,           0.0097742,           0.0006916,           0.0006916,           0.0006916
                  67,            0.018356,           0.0035943,           0.0049834,             0.91888,             0.90158,             0.95089,             0.76425,             0.01762,           0.0030886,           0.0093394,          0.00065707,          0.00065707,          0.00065707
                  68,            0.018086,           0.0036656,             0.00515,             0.92307,             0.88361,             0.94539,             0.76258,            0.017628,           0.0031482,           0.0092507,          0.00062313,          0.00062313,          0.00062313
                  69,            0.018873,           0.0036572,           0.0050158,             0.90026,             0.88725,             0.93907,             0.75356,            0.018352,           0.0031867,           0.0097098,          0.00058982,          0.00058982,          0.00058982
                  70,            0.017189,           0.0034994,           0.0047439,             0.93172,             0.87992,             0.95153,             0.76107,            0.017936,           0.0030967,           0.0084707,          0.00055716,          0.00055716,          0.00055716
