               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  35,            0.036227,            0.007377,            0.058476,             0.23216,             0.39658,             0.26313,             0.16962,             0.03304,           0.0060075,            0.058338,            0.001047,            0.001047,            0.043547
                  36,            0.034456,           0.0073546,            0.058045,             0.21666,             0.45935,             0.27599,             0.18812,            0.034588,           0.0058937,             0.05783,           0.0010554,           0.0010554,            0.041955
                  37,            0.035593,           0.0072008,            0.057455,             0.21898,             0.47002,             0.29413,             0.18725,            0.033644,           0.0058714,            0.057157,           0.0010624,           0.0010624,            0.040362
                  38,            0.036321,           0.0073171,            0.056385,             0.21315,             0.53421,             0.30475,             0.19462,            0.031831,           0.0056689,            0.056473,           0.0010679,           0.0010679,            0.038768
                  39,            0.035365,           0.0070361,            0.056127,              0.2639,             0.49836,             0.32402,             0.18142,            0.033283,           0.0056483,            0.056008,            0.001072,            0.001072,            0.037172
                  40,            0.034673,           0.0069178,            0.055075,             0.23255,             0.56633,             0.33864,             0.19836,            0.032546,           0.0055655,            0.055049,           0.0010746,           0.0010746,            0.035575
                  41,            0.032837,           0.0068202,            0.054323,             0.24035,             0.57926,             0.33526,             0.20256,            0.032796,           0.0054198,            0.054708,           0.0010758,           0.0010758,            0.033976
                  42,             0.03355,           0.0065942,            0.053535,             0.25666,             0.55957,              0.3564,             0.20991,            0.032688,           0.0053843,            0.053822,           0.0010755,           0.0010755,            0.032376
                  43,            0.032901,            0.006487,            0.053388,             0.24478,             0.59768,             0.37518,             0.26561,             0.03001,           0.0053534,            0.053378,           0.0010739,           0.0010739,            0.030774
                  44,            0.032079,           0.0062795,            0.052299,             0.31067,             0.54109,             0.38556,             0.25447,            0.032692,           0.0051923,            0.052565,           0.0010708,           0.0010708,            0.029171
                  45,            0.031546,           0.0064802,            0.051808,             0.31152,             0.53976,             0.41234,             0.27304,            0.031584,           0.0051017,            0.051746,           0.0010663,           0.0010663,            0.027566
                  46,            0.031082,            0.006291,             0.05152,             0.38104,             0.49488,             0.40449,             0.21337,            0.031632,           0.0050144,             0.05136,           0.0010605,           0.0010605,            0.025961
                  47,            0.031668,           0.0064638,            0.050617,             0.25823,             0.60252,             0.41126,             0.25054,            0.029821,           0.0048732,            0.050932,           0.0010533,           0.0010533,            0.024353
                  48,            0.031815,           0.0064434,            0.050049,             0.31257,             0.57474,             0.41933,             0.21584,             0.03444,             0.00485,            0.049923,           0.0010448,           0.0010448,            0.022745
                  49,            0.029701,           0.0058282,            0.048517,             0.36368,              0.5582,             0.44181,             0.28195,            0.029366,           0.0047628,            0.049041,            0.001035,            0.001035,            0.021135
                  50,            0.031079,           0.0058845,            0.048226,             0.32096,             0.64031,             0.45771,             0.29745,            0.031379,           0.0047412,            0.048347,           0.0010238,           0.0010238,            0.019524
                  51,            0.029528,           0.0060215,            0.047422,             0.32693,             0.69139,             0.47425,             0.32022,            0.028355,           0.0047517,             0.04818,           0.0010115,           0.0010115,            0.017911
                  52,            0.030184,           0.0058603,            0.045977,             0.34566,             0.63426,             0.48579,             0.28749,            0.030225,           0.0047176,             0.04701,           0.0009979,           0.0009979,            0.016298
                  53,            0.029972,           0.0058194,            0.044522,             0.37646,             0.61289,             0.49747,             0.29889,            0.030729,           0.0047333,            0.046413,          0.00098313,          0.00098313,            0.014683
                  54,            0.029916,           0.0054933,             0.04496,             0.39667,             0.59064,             0.51919,             0.35646,            0.027735,           0.0045712,            0.045477,          0.00096722,          0.00096722,            0.013067
                  55,             0.02919,           0.0054861,            0.043149,             0.37581,             0.64788,             0.52376,             0.33809,            0.029338,           0.0046325,            0.044858,          0.00095021,          0.00095021,             0.01145
                  56,            0.028431,           0.0055475,            0.042768,              0.4094,             0.56085,             0.51614,             0.32995,            0.030807,           0.0047376,            0.043899,          0.00093213,          0.00093213,           0.0098321
                  57,            0.029404,           0.0057024,            0.041817,             0.36136,             0.72514,             0.54205,             0.36175,            0.028816,           0.0046024,            0.043482,          0.00091303,          0.00091303,            0.008213
                  58,            0.027846,           0.0055428,            0.040035,             0.41582,             0.66169,             0.56373,             0.37632,            0.029909,           0.0047712,            0.042693,          0.00089297,          0.00089297,            0.006593
                  59,            0.028356,           0.0052925,            0.039286,              0.3866,             0.73072,             0.56175,             0.37781,            0.027077,           0.0045361,            0.042287,          0.00087198,          0.00087198,            0.004972
                  60,            0.027905,           0.0054011,            0.038421,             0.39859,             0.72567,             0.58583,             0.38076,             0.02855,           0.0046379,            0.040661,          0.00085011,          0.00085011,           0.0033501
                  61,            0.028133,           0.0054708,            0.037508,             0.51557,             0.60258,             0.61261,             0.42149,            0.028179,           0.0044254,            0.039474,          0.00082743,          0.00082743,           0.0017274
                  62,            0.027233,            0.005205,            0.036533,             0.47982,             0.65318,              0.6085,             0.39205,            0.028998,           0.0044632,             0.03933,           0.0007984,           0.0007984,           0.0007984
                  63,             0.02791,           0.0052493,            0.035352,             0.44432,             0.70148,               0.621,             0.42411,            0.029551,           0.0045481,            0.038597,           0.0007984,           0.0007984,           0.0007984
                  64,            0.028098,           0.0054389,            0.034305,             0.59685,             0.65603,             0.65956,             0.45367,            0.027326,           0.0043895,            0.037223,           0.0007623,           0.0007623,           0.0007623
                  65,            0.027283,           0.0052533,            0.033109,             0.60102,             0.58451,             0.64404,             0.43512,            0.028849,           0.0044984,            0.037556,          0.00072669,          0.00072669,          0.00072669
