               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.093608,            0.016175,            0.071287,          0.00099102,             0.27191,          0.00074005,          0.00019051,            0.078997,            0.016491,            0.068492,           0.0001525,           0.0001525,            0.094053
                   1,             0.06508,            0.018563,            0.067465,            0.052672,             0.19415,            0.039753,            0.013486,            0.052667,            0.017655,            0.065689,          0.00030742,          0.00030742,            0.088007
                   2,            0.047238,            0.018137,            0.066047,             0.06805,             0.33493,             0.06944,            0.036065,            0.039609,            0.015777,            0.064383,          0.00046205,          0.00046205,            0.081962
                   3,            0.042123,            0.015822,            0.065181,            0.094848,             0.29714,            0.080553,            0.039866,             0.04144,            0.013206,            0.063381,          0.00061614,          0.00061614,            0.075916
                   4,            0.039032,            0.014126,            0.064466,            0.096321,             0.37673,             0.10492,            0.066612,              0.0335,            0.011792,            0.062454,          0.00076947,          0.00076947,            0.069869
                   5,            0.036509,            0.012444,            0.063602,              0.1493,             0.33178,             0.14957,            0.085653,            0.034469,            0.010158,            0.061455,          0.00092182,          0.00092182,            0.063822
                   6,            0.034833,            0.010674,            0.062472,             0.16337,             0.31393,             0.17093,            0.099033,            0.036576,           0.0092487,            0.060326,            0.001073,            0.001073,            0.057773
                   7,            0.033252,           0.0098971,            0.061148,             0.19848,              0.5018,             0.24094,             0.14256,            0.031644,            0.008023,            0.058187,           0.0012227,           0.0012227,            0.051723
                   8,            0.032904,           0.0087814,            0.058626,             0.25925,             0.50218,             0.29683,             0.16651,            0.032658,           0.0073236,            0.054894,           0.0013707,           0.0013707,            0.045671
                   9,            0.032065,           0.0084354,            0.055913,             0.28017,             0.54012,             0.34203,             0.21074,            0.028354,           0.0071552,            0.052341,           0.0015169,           0.0015169,            0.039617
                  10,             0.03008,            0.007804,            0.052827,             0.32083,             0.57408,             0.39594,             0.26988,            0.023564,           0.0068111,            0.049076,            0.001661,            0.001661,            0.033561
                  11,            0.030602,           0.0075158,             0.05004,             0.44488,             0.61074,             0.44486,             0.30917,            0.026233,           0.0064389,            0.046197,           0.0018029,           0.0018029,            0.027503
                  12,            0.030572,           0.0072881,            0.046495,             0.39231,             0.73429,             0.47195,             0.23007,            0.034879,           0.0064188,            0.043661,           0.0019422,           0.0019422,            0.021442
                  13,            0.029322,           0.0069667,            0.043643,             0.39984,             0.72161,             0.51995,             0.35044,             0.02789,           0.0061039,            0.040105,           0.0020788,           0.0020788,            0.015379
                  14,            0.029361,           0.0071925,            0.040999,             0.39579,             0.78127,             0.57285,             0.38135,            0.025782,           0.0058987,            0.037671,           0.0022125,           0.0022125,           0.0093125
                  15,            0.028672,           0.0071266,            0.037862,             0.43438,              0.6673,             0.57644,             0.40353,            0.024933,           0.0066608,            0.035462,           0.0023432,           0.0023432,           0.0032432
                  16,            0.028617,           0.0071724,            0.034903,             0.46734,             0.67182,             0.56458,             0.38093,            0.028444,           0.0071622,            0.034759,           0.0023462,           0.0023462,           0.0023462
                  17,            0.028694,           0.0072504,            0.033798,             0.44457,             0.72697,             0.60901,             0.42673,             0.02532,           0.0068745,             0.03467,           0.0023462,           0.0023462,           0.0023462
                  18,             0.02771,           0.0069936,            0.031426,             0.50741,             0.73625,              0.6556,             0.46285,            0.023192,           0.0061184,            0.030949,           0.0023268,           0.0023268,           0.0023268
                  19,            0.027434,           0.0065762,            0.027944,             0.57225,             0.76498,             0.69661,             0.49736,            0.023876,           0.0060484,            0.028279,           0.0023064,           0.0023064,           0.0023064
                  20,            0.026958,            0.006282,            0.026645,             0.52779,             0.82563,              0.6786,             0.49059,             0.02281,           0.0063563,            0.025502,           0.0022849,           0.0022849,           0.0022849
                  21,            0.026338,           0.0060869,            0.024335,             0.58871,             0.83583,             0.70645,             0.51382,            0.021522,            0.005325,            0.026421,           0.0022625,           0.0022625,           0.0022625
                  22,            0.025893,           0.0058529,            0.023876,             0.55755,             0.79677,             0.67933,             0.49695,            0.021704,            0.006253,            0.026701,            0.002239,            0.002239,            0.002239
